sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5]","[9.798687934875488, 10.004582405090332, 10.210476875305176, 10.41637134552002, 10.622265815734863, 10.828161239624023, 11.03405475616455, 11.239950180053711, 11.445844650268555, 11.651739120483398, 11.857633590698242, 12.06352710723877, 12.26942253112793, 12.475317001342773, 12.681211471557617]",10.592000680544317,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[3.75, 4.0]","[12.887105941772461, 13.093000411987305]",10.612114633472931,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[4.25, 4.5, 4.75]","[13.298894882202148, 13.504789352416992, 13.710683822631836]",10.532061773868822,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[5.0, 5.25, 5.5, 5.75, 6.0]","[13.91657829284668, 14.122472763061523, 14.328367233276367, 14.534261703491211, 14.740157127380371]",10.637940995098417,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[6.25, 6.5, 6.75, 7.0]","[14.946051597595215, 15.151946067810059, 15.357840538024902, 15.56373405456543]",10.411929280143845,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[7.25, 7.5]","[15.76962947845459, 15.975522994995117]",10.313829662553223,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.4805755019187927, 1.4502391815185547, -0.06987494230270386, 2.8308558464050293, -1.5205609798431396, 2.547646999359131, 0.6493481397628784, 0.6937350034713745, -0.29818862676620483, -0.06327605247497559, -0.5945826768875122, 1.439770221710205, -0.8417181372642517, 0.6040930151939392, -0.924734890460968, 1.2471826076507568, 1.4110817909240723, 0.7659660577774048, 0.3165515065193176, 1.4234449863433838, -0.17119556665420532, -0.6650490760803223, 0.8083734512329102, -0.9701196551322937, -0.29554349184036255, -0.30527257919311523, 2.1258668899536133, -0.4212895929813385, 0.019723504781723022, 2.5592353343963623, -0.2759404182434082, 0.9585416316986084, 0.3863821029663086, 0.11151459813117981, 0.990298867225647, -3.1934475898742676, -0.05273842811584473, 0.96873939037323, -0.5738142132759094, -0.008806568570435047, -0.5747188329696655, 1.1604727506637573, -1.2591956853866577, -2.0084452629089355, 1.2202370166778564, -1.9783122539520264, 1.849287986755371, 1.0514801740646362, -2.7151942253112793, 0.6208406090736389, 2.2240381240844727, -1.3411741256713867, -1.3758018016815186, -0.30647197365760803, 0.26335471868515015, -0.43532687425613403, -2.10054874420166, -0.3940483331680298, 0.27520036697387695, 0.5211807489395142, 0.7887098789215088, 0.4991834759712219, -0.6666582226753235, 2.01827073097229]",[0.0],[8.88709831237793],10.507055823128697,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.4805755019187927, 1.4502391815185547, -0.06987494230270386, 2.8308558464050293, -1.5205609798431396, 2.547646999359131, 0.6493481397628784, 0.6937350034713745, -0.29818862676620483, -0.06327605247497559, -0.5945826768875122, 1.439770221710205, -0.8417181372642517, 0.6040930151939392, -0.924734890460968, 1.2471826076507568, 1.4110817909240723, 0.7659660577774048, 0.3165515065193176, 1.4234449863433838, -0.17119556665420532, -0.6650490760803223, 0.8083734512329102, -0.9701196551322937, -0.29554349184036255, -0.30527257919311523, 2.1258668899536133, -0.4212895929813385, 0.019723504781723022, 2.5592353343963623, -0.2759404182434082, 0.9585416316986084, 0.3863821029663086, 0.11151459813117981, 0.990298867225647, -3.1934475898742676, -0.05273842811584473, 0.96873939037323, -0.5738142132759094, -0.008806568570435047, -0.5747188329696655, 1.1604727506637573, -1.2591956853866577, -2.0084452629089355, 1.2202370166778564, -1.9783122539520264, 1.849287986755371, 1.0514801740646362, -2.7151942253112793, 0.6208406090736389, 2.2240381240844727, -1.3411741256713867, -1.3758018016815186, -0.30647197365760803, 0.26335471868515015, -0.43532687425613403, -2.10054874420166, -0.3940483331680298, 0.27520036697387695, 0.5211807489395142, 0.7887098789215088, 0.4991834759712219, -0.6666582226753235, 2.01827073097229]","[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0]","[9.092992782592773, 9.298887252807617, 9.504781723022461, 9.710676193237305, 9.916570663452148, 10.122465133666992, 10.328359603881836, 10.53425407409668]",10.543816224999237,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.4805755019187927, 1.4502391815185547, -0.06987494230270386, 2.8308558464050293, -1.5205609798431396, 2.547646999359131, 0.6493481397628784, 0.6937350034713745, -0.29818862676620483, -0.06327605247497559, -0.5945826768875122, 1.439770221710205, -0.8417181372642517, 0.6040930151939392, -0.924734890460968, 1.2471826076507568, 1.4110817909240723, 0.7659660577774048, 0.3165515065193176, 1.4234449863433838, -0.17119556665420532, -0.6650490760803223, 0.8083734512329102, -0.9701196551322937, -0.29554349184036255, -0.30527257919311523, 2.1258668899536133, -0.4212895929813385, 0.019723504781723022, 2.5592353343963623, -0.2759404182434082, 0.9585416316986084, 0.3863821029663086, 0.11151459813117981, 0.990298867225647, -3.1934475898742676, -0.05273842811584473, 0.96873939037323, -0.5738142132759094, -0.008806568570435047, -0.5747188329696655, 1.1604727506637573, -1.2591956853866577, -2.0084452629089355, 1.2202370166778564, -1.9783122539520264, 1.849287986755371, 1.0514801740646362, -2.7151942253112793, 0.6208406090736389, 2.2240381240844727, -1.3411741256713867, -1.3758018016815186, -0.30647197365760803, 0.26335471868515015, -0.43532687425613403, -2.10054874420166, -0.3940483331680298, 0.27520036697387695, 0.5211807489395142, 0.7887098789215088, 0.4991834759712219, -0.6666582226753235, 2.01827073097229]","[2.25, 2.5]","[10.740148544311523, 10.946043014526367]",10.62592349812855,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.4805755019187927, 1.4502391815185547, -0.06987494230270386, 2.8308558464050293, -1.5205609798431396, 2.547646999359131, 0.6493481397628784, 0.6937350034713745, -0.29818862676620483, -0.06327605247497559, -0.5945826768875122, 1.439770221710205, -0.8417181372642517, 0.6040930151939392, -0.924734890460968, 1.2471826076507568, 1.4110817909240723, 0.7659660577774048, 0.3165515065193176, 1.4234449863433838, -0.17119556665420532, -0.6650490760803223, 0.8083734512329102, -0.9701196551322937, -0.29554349184036255, -0.30527257919311523, 2.1258668899536133, -0.4212895929813385, 0.019723504781723022, 2.5592353343963623, -0.2759404182434082, 0.9585416316986084, 0.3863821029663086, 0.11151459813117981, 0.990298867225647, -3.1934475898742676, -0.05273842811584473, 0.96873939037323, -0.5738142132759094, -0.008806568570435047, -0.5747188329696655, 1.1604727506637573, -1.2591956853866577, -2.0084452629089355, 1.2202370166778564, -1.9783122539520264, 1.849287986755371, 1.0514801740646362, -2.7151942253112793, 0.6208406090736389, 2.2240381240844727, -1.3411741256713867, -1.3758018016815186, -0.30647197365760803, 0.26335471868515015, -0.43532687425613403, -2.10054874420166, -0.3940483331680298, 0.27520036697387695, 0.5211807489395142, 0.7887098789215088, 0.4991834759712219, -0.6666582226753235, 2.01827073097229]","[2.75, 3.0]","[11.151937484741211, 11.357831954956055]",10.642384776707056,,
